id,roi,method,ref,populations,ecotypes,caption,caption_alt,qtl_trait,qtl_trait_alt,qtl_functioncat1,qtl_cat,qtl_pve,candidate_gene,candidate_gene_long,candidate_gene_ensembl,candidate_region,candidate_function,remarks,GLA_chr_start,GLA_pos_start,GLA_chr_end,GLA_pos_end,GLA_chr_regstart,pos_regstart_GLA,GLA_chr_regend,GLA_pos_regend,GLA_overlap_definition,GLA_chr_ovstart,GLA_pos_ovstart,GLA_chr_ovend,GLA_pos_ovend,GLA_masked
22,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"N6AMT1, JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","N-6 adenine-specific DNA methyltransferase 1 (putative) [Source:HGNC Symbol;Acc:16021], jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26491914,chrI,26490341,,,,,exact region as reported,chrI,26490341,chrI,26491914,
23,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"N6AMT1, JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","N-6 adenine-specific DNA methyltransferase 1 (putative) [Source:HGNC Symbol;Acc:16021], jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26490015,chrI,26487846,,,,,exact region as reported,chrI,26487846,chrI,26490015,
24,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26485346,chrI,26479846,,,,,exact region as reported,chrI,26479846,chrI,26485346,
25,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26470346,chrI,26467346,,,,,exact region as reported,chrI,26467346,chrI,26470346,
26,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26457607,chrI,26455346,,,,,exact region as reported,chrI,26455346,chrI,26457607,
27,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26453346,chrI,26449248,,,,,exact region as reported,chrI,26449248,chrI,26453346,
28,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26447160,chrI,26445346,,,,,exact region as reported,chrI,26445346,chrI,26447160,
29,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26444846,chrI,26439346,,,,,exact region as reported,chrI,26439346,chrI,26444846,
30,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26438846,chrI,26435846,,,,,exact region as reported,chrI,26435846,chrI,26438846,
31,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"JAGN1 (2 of 3), TNS1 (2 of 2){1}, MRC1*, IGFBP5 (2 of 2)","jagunal homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:26926], tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, insulin-like growth factor binding protein 5 [Source:HGNC Symbol;Acc:5474]",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26432346,chrI,26421846,,,,,exact region as reported,chrI,26421846,chrI,26432346,
32,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"TNS1 (2 of 2){1}, MRC1*, IGFBP5 (2 of 2)","tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, insulin-like growth factor binding protein 5 [Source:HGNC Symbol;Acc:5474], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26415346,chrI,26411346,,,,,exact region as reported,chrI,26411346,chrI,26415346,
33,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"TNS1 (2 of 2){1}, MRC1*, IGFBP5 (2 of 2), IGFBP2 (1 of 2)","tensin 1 [Source:HGNC Symbol;Acc:11973], mannose receptor C type 1, C-type lectin*, insulin-like growth factor binding protein 5 [Source:HGNC Symbol;Acc:5474], insulin-like growth factor binding protein 2, 36kDa [Source:HGNC Symbol;Acc:5471]",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26403346,chrI,26398846,,,,,exact region as reported,chrI,26398846,chrI,26403346,
34,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"IGFBP5 (2 of 2), IGFBP2 (1 of 2), STK11IP{5}","insulin-like growth factor binding protein 5 [Source:HGNC Symbol;Acc:5474], insulin-like growth factor binding protein 2, 36kDa [Source:HGNC Symbol;Acc:5471], serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:19184]",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26396346,chrI,26391346,,,,,exact region as reported,chrI,26391346,chrI,26396346,
35,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"IGFBP5 (2 of 2), IGFBP2 (1 of 2), STK11IP{5}, Cx44.2*","insulin-like growth factor binding protein 5 [Source:HGNC Symbol;Acc:5474], insulin-like growth factor binding protein 2, 36kDa [Source:HGNC Symbol;Acc:5471], serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:19184], 44.2 kDa connexin, gap junction protein*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26389846,chrI,26369346,,,,,exact region as reported,chrI,26369346,chrI,26389846,
36,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"STK11IP{5}, Cx44.2*, INHA+G, SPEG (2 of 2){2}","serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:19184], 44.2 kDa connexin, gap junction protein*, inhibin, alpha [Source:HGNC Symbol;Acc:6065], SPEG complex locus [Source:HGNC Symbol;Acc:16901]",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26365346,chrI,26357346,,,,,exact region as reported,chrI,26357346,chrI,26365346,
37,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"INHA+G, SPEG (2 of 2){2}, CTDSP1 (1 of 2), non-coding*","inhibin, alpha [Source:HGNC Symbol;Acc:6065], SPEG complex locus [Source:HGNC Symbol;Acc:16901], CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:21614], non-coding*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26354846,chrI,26347846,,,,,exact region as reported,chrI,26347846,chrI,26354846,
38,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"INHA+G, SPEG (2 of 2){2}, CTDSP1 (1 of 2), non-coding*","inhibin, alpha [Source:HGNC Symbol;Acc:6065], SPEG complex locus [Source:HGNC Symbol;Acc:16901], CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:21614], non-coding*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26341846,chrI,26335346,,,,,exact region as reported,chrI,26335346,chrI,26341846,
39,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"INHA+G, SPEG (2 of 2){2}, CTDSP1 (1 of 2), non-coding*","inhibin, alpha [Source:HGNC Symbol;Acc:6065], SPEG complex locus [Source:HGNC Symbol;Acc:16901], CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:21614], non-coding*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26321846,chrI,26315346,,,,,exact region as reported,chrI,26315346,chrI,26321846,
40,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,," CTDSP1 (1 of 2), non-coding*, OBSCN*, OBSL1 (2 of 3)","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:21614], non-coding*, similar to obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF*, obscurin-like 1 [Source:HGNC Symbol;Acc:29092]",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26313846,chrI,26310346,,,,,exact region as reported,chrI,26310346,chrI,26313846,
41,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"OBSCN*, OBSL1 (2 of 3), ATP1A1{1}+HYP, -H","similar to obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF*, obscurin-like 1 [Source:HGNC Symbol;Acc:29092], ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:799]",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26309346,chrI,26303346,,,,,exact region as reported,chrI,26303346,chrI,26309346,
42,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"OBSCN*, OBSL1 (2 of 3), ATP1A1{1}+HYP, -H","similar to obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF*, obscurin-like 1 [Source:HGNC Symbol;Acc:29092], ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:799]",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26301346,chrI,26298346,,,,,exact region as reported,chrI,26298346,chrI,26301346,
43,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"OBSL1 (2 of 3), ATP1A1{1}+HYP, -H, PROX1*","obscurin-like 1 [Source:HGNC Symbol;Acc:29092], ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:799], prospero homeobox protein 1*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26290346,chrI,26283846,,,,,exact region as reported,chrI,26283846,chrI,26290346,
44,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"OBSL1 (2 of 3), ATP1A1{1}+HYP, -H, PROX1*","obscurin-like 1 [Source:HGNC Symbol;Acc:29092], ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:799], prospero homeobox protein 1*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26283346,chrI,26280148,,,,,exact region as reported,chrI,26280148,chrI,26283346,
45,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"OBSL1 (2 of 3), ATP1A1{1}+HYP, -H, PROX1*","obscurin-like 1 [Source:HGNC Symbol;Acc:29092], ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:799], prospero homeobox protein 1*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26274759,chrI,26274038,,,,,exact region as reported,chrI,26274038,chrI,26274759,
46,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"OBSL1 (2 of 3), ATP1A1{1}+HYP, -H, PROX1*","obscurin-like 1 [Source:HGNC Symbol;Acc:29092], ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:799], prospero homeobox protein 1*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26272367,chrI,26271846,,,,,exact region as reported,chrI,26271846,chrI,26272367,
47,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"OBSL1 (2 of 3), ATP1A1{1}+HYP, -H, PROX1*","obscurin-like 1 [Source:HGNC Symbol;Acc:29092], ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:799], prospero homeobox protein 1*",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26271346,chrI,26264846,,,,,exact region as reported,chrI,26264846,chrI,26271346,
48,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"PROX1*, CCDC28A","prospero homeobox protein 1*, coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:21098], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26187846,chrI,26182846,,,,,exact region as reported,chrI,26182846,chrI,26187846,
49,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"PROX1*, CCDC28A","prospero homeobox protein 1*, coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:21098], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26181346,chrI,26174846,,,,,exact region as reported,chrI,26174846,chrI,26181346,
50,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"PROX1*, CCDC28A","prospero homeobox protein 1*, coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:21098], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26165346,chrI,26162346,,,,,exact region as reported,chrI,26162346,chrI,26165346,
51,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"PROX1*, CCDC28A","prospero homeobox protein 1*, coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:21098], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26161846,chrI,26161836,,,,,exact region as reported,chrI,26161836,chrI,26161846,
52,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"PROX1*, CCDC28A","prospero homeobox protein 1*, coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:21098], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26161563,chrI,26157628,,,,,exact region as reported,chrI,26157628,chrI,26161563,
53,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"PROX1*, CCDC28A","prospero homeobox protein 1*, coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:21098], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26157362,chrI,26157346,,,,,exact region as reported,chrI,26157346,chrI,26157362,
54,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,"PROX1*, CCDC28A","prospero homeobox protein 1*, coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:21098], ",,,,"global marine-freshwater differentiation, FDR=0.02, export from StickleBrowser",chrI,26154846,chrI,26148846,,,,,exact region as reported,chrI,26148846,chrI,26154846,
