,Window position,,FST,,,Sex Bias,,Gene information,,,
9,10650001,10725000,0.121478386,0.128169579,0.013648103,F,0.485,ENSGACG00000018233,pdcd11 ,programmed cell death 11,"RNA processing, intracellular, protein binding"
9,10650001,10725000,0.121478386,0.128169579,0.013648103,M,0.102,ENSGACG00000018230,CEP95,centrosomal protein 95kDa,
10,7350001,7425000,0.055612233,0.147526411,0.033290716,M,0.224,ENSGACG00000004817,rprd1a,regulation of nuclear pre-mRNA domain containing 1A,
10,7350001,7425000,0.055612233,0.147526411,0.033290716,M,0.065,ENSGACG00000004837,si:ch211-13c6.2,si:ch211-13c6.2,"zinc ion binding, nucleic acid binding, metal ion binding, "
10,7350001,7425000,0.055612233,0.147526411,0.033290716,F,0.055,ENSGACG00000004846,nfyc,"nuclear transcription factor Y, gamma","sequence-specific DNA binding, DNA binding, intracellular, retina development in camera-type eye"
10,13125001,13200000,0.189017373,0.060272623,0.049050767,M,0.126,ENSGACG00000008805,ST3GAL1 ,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1","integral component of Golgi membrane, sialyltransferase activity, protein glycosylation"
10,13125001,13200000,0.189017373,0.060272623,0.049050767,M,0.014,ENSGACG00000008798,si:ch1073-296d18.1,si:ch1073-296d18.1,"NAD+ ADP-ribosyltransferase activity, nucleic acid binding"
11,10425001,10500000,0.7563875,0.717484,0,M,0.317,ENSGACG00000011601,Novel gene,,"intracellular protein transport, GTP binding, intracellular, signal transduction, membrane, protein transport, nucleocytoplasmic transport, GTPase activity, small GTPase mediated signal transduction"
11,10425001,10500000,0.7563875,0.717484,0,M,0.198,ENSGACG00000011578,DXO,decapping exoribonuclease,rRNA processing
11,10425001,10500000,0.7563875,0.717484,0,M,0.168,ENSGACG00000011550,si:ch211-256e16.3,si:ch211-256e16.3,"DNA repair, protein binding, methylated-DNA-[protein]-cysteine S-methyltransferase activity"
11,10425001,10500000,0.7563875,0.717484,0,F,0.127,ENSGACG00000011592,stk19,serine/threonine kinase 19,
12,7875001,7950000,0.2569278,0.230369076,0.000216042,F,0.363,ENSGACG00000006447,ybx1,Y box binding protein 1,"regulation of transcription, DNA-templated, DNA binding, nucleic acid binding, negative regulation of mRNA processing, establishment of RNA localization, negative regulation of mRNA splicing, via spliceosome, negative regulation of mRNA polyadenylation, negative regulation of translational initiation, eukaryotic initiation factor 4E binding, RNA binding"
12,7875001,7950000,0.2569278,0.230369076,0.000216042,M,0.309,ENSGACG00000006452,arhgef16,Rho guanine nucleotide exchange factor,"regulation of Rho protein signal transduction, Rho guanyl-nucleotide exchange factor activity, protein binding"
15,8175001,8250000,0.145391169,0.081073558,0.023380244,M,0.546,ENSGACG00000009968,crlf1a,cytokine receptor-like factor 1a,protein binding
15,8175001,8250000,0.145391169,0.081073558,0.023380244,M,0.214,ENSGACG00000009976,keap1a,kelch-like ECH-associated protein 1a,"protein binding, cellular response to prostaglandin stimulus, cellular response to xenobiotic stimulus"
16,9300001,9375000,0.081651724,0.07825725,0.006642126,F,0.123,ENSGACG00000004189,uggt2,UDP-glucose glycoprotein glucosyltransferase 2,"UDP-glucose:glycoprotein glucosyltransferase activity, protein glycosylation"
16,9300001,9375000,0.081651724,0.07825725,0.006642126,F,0.009,ENSGACG00000004166,dnajc3a,DnaJ,"ribosome, translation, structural constituent of ribosome, protein binding"
16,9975001,10050000,0.096805843,0.12184881,0.020575307,M,0.281,ENSGACG00000004687,gpr155a,G protein-coupled receptor 155a,"integral component of membrane, transmembrane transport, intracellular signal transduction"
16,9975001,10050000,0.096805843,0.12184881,0.020575307,M,0.186,ENSGACG00000004749,si:ch73-167c12.2,"corepressor interacting with RBPJ, 1",
16,9975001,10050000,0.096805843,0.12184881,0.020575307,M,0.132,ENSGACG00000004721,scrn3,secernin 3,"dipeptidase activity, proteolysis"
16,17625001,17700000,0.087821775,0.174920588,0.027150049,M,0.2,ENSGACG00000009132,armc8,armadillo repeat containing 8,protein binding
16,17625001,17700000,0.087821775,0.174920588,0.027150049,M,0.116,ENSGACG00000009047,dnajb11,DnaJ,
16,17625001,17700000,0.087821775,0.174920588,0.027150049,M,0.096,ENSGACG00000009102,rab5b,"RAB5B, member RAS oncogene family","intracellular protein transport, GTP binding, intracellular, signal transduction, membrane, protein transport, nucleocytoplasmic transport, GTPase activity, small GTPase mediated signal transduction"
16,17625001,17700000,0.087821775,0.174920588,0.027150049,F,0.054,ENSGACG00000009122,dbr1,debranching RNA lariats 1,"mRNA processing, hydrolase activity, acting on ester bonds, "
17,4875001,4950000,0.130357358,0.067325082,0.025469442,M,0.348,ENSGACG00000006223,lmod1b,leiomodin 1b,"pointed-end actin filament capping, tropomyosin binding, actin binding"
17,4875001,4950000,0.130357358,0.067325082,0.025469442,F,0.14,ENSGACG00000006233,ipo9,importin 9,
17,4875001,4950000,0.130357358,0.067325082,0.025469442,M,0.058,ENSGACG00000006187,timm17a,translocase of inner mitochondrial membrane 17 homolog A,", intracellular protein transport, mitochondrial inner membrane presequence translocase complex, P-P-bond-hydrolysis-driven protein transmembrane transporter activity"
17,4875001,4950000,0.130357358,0.067325082,0.025469442,F,0.043,ENSGACG00000006153,rap1ab,"RAP1A, member of RAS oncogene family b","intracellular protein transport, GTP binding, intracellular, signal transduction, membrane, protein transport, nucleocytoplasmic transport, GTPase activity, small GTPase mediated signal transduction"
17,8025001,8100000,0.092204257,0.050911629,0.019746086,M,0.042,ENSGACG00000008661,tnks1bp1 ,tankyrase 1 binding protein 1,"ATP binding, DNA binding, DNA topological change, DNA topoisomerase type II (ATP-hydrolyzing) activity"
17,8025001,8100000,0.092204257,0.050911629,0.019746086,F,0.032,ENSGACG00000008663,Novel gene,,
18,6225001,6300000,0.107587526,0.21521384,0.024026707,M,0.263,ENSGACG00000007459,gareml,"GRB2 associated, regulator of MAPK1-like",protein binding
18,6300001,6375000,0.200318272,0.290753094,0.007450407,F,0.125,ENSGACG00000007478,Novel gene,,
18,6300001,6375000,0.200318272,0.290753094,0.007450407,F,0.064,ENSGACG00000007514,esr2a,estrogen receptor 2a,"sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding, steroid hormone mediated signaling pathway, regulation of transcription, DNA-templated, steroid binding, steroid hormone receptor activity, nucleus, DNA binding, zinc ion binding, steroid hormone binding, RNA polymerase II transcription factor activity, estrogen-activated sequence-specific DNA binding, estrogen receptor activity, response to estrogen"
18,6300001,6375000,0.200318272,0.290753094,0.007450407,F,0.061,ENSGACG00000007483,syne2b,"spectrin repeat containing, nuclear envelope 2b",protein binding
18,6450001,6525000,0.084937388,0.124306214,0.016622535,M,0.666,ENSGACG00000007631,clu,clusterin,cell death
18,6450001,6525000,0.084937388,0.124306214,0.016622535,M,0.2,ENSGACG00000007571,heca,"hdc homolog, cell cycle regulator",
18,6450001,6525000,0.084937388,0.124306214,0.016622535,F,0.195,ENSGACG00000007565,mtif3,mitochondrial translational initiation factor 3,"translational initiation, translation initiation factor activity"
18,6450001,6525000,0.084937388,0.124306214,0.016622535,M,0.186,ENSGACG00000007582,abracl,ABRA C-terminal like,
18,8550001,8625000,0.069054671,0.213068922,0.068178331,M,0.208,ENSGACG00000008921,snx3,sorting nexin 3,"erythrocyte differentiation, heme biosynthetic process, hemoglobin biosynthetic process, phosphatidylinositol binding"
18,8550001,8625000,0.069054671,0.213068922,0.068178331,M,0.069,ENSGACG00000008950,ostm1,osteopetrosis associated transmembrane protein 1,
18,11175001,11250000,0.039759523,0.084893033,0.049158387,F,0.278,ENSGACG00000011113,si:ch211-286f9.2,iodotyrosine deiodinase,
18,11175001,11250000,0.039759523,0.084893033,0.049158387,F,0.239,ENSGACG00000011129,LINC00116,long intergenic non-protein coding RNA 116,
18,11625001,11700000,0.094429025,0.018637623,0.039109251,F,0.101,ENSGACG00000011399,si:ch211-225h24.2,si:ch211-225h24.2,
18,11625001,11700000,0.094429025,0.018637623,0.039109251,F,0.085,ENSGACG00000011452,tmem18,transmembrane protein 18,
18,11625001,11700000,0.094429025,0.018637623,0.039109251,M,0.054,ENSGACG00000011402,fbxo25,F-box protein 25,
18,11625001,11700000,0.094429025,0.018637623,0.039109251,F,0.022,ENSGACG00000011427,acp1,"acid phosphatase 1, soluble",
19,7050001,7125000,0.019805626,0.015755206,0.018300474,F,1.031,ENSGACG00000005659,gtf2h1,"general transcription factor IIH, polypeptide 1",
19,7050001,7125000,0.019805626,0.015755206,0.018300474,F,0.986,ENSGACG00000005590,INCENP,inner centromere protein,
19,7050001,7125000,0.019805626,0.015755206,0.018300474,F,0.775,ENSGACG00000005561,athl1,"ATH1, acid trehalase-like 1","carbohydrate metabolic process, catalytic activity"
19,7050001,7125000,0.019805626,0.015755206,0.018300474,F,0.676,ENSGACG00000005632,hps5,Hermansky-Pudlak syndrome 5,protein binding
19,11550001,11625000,0.030804207,0.042760985,0.050857896,F,0.872,ENSGACG00000010024,AEBP2 ,AE binding protein 2,metal ion binding
20,7875001,7950000,0.021004967,0.163615983,0.086679,M,0.563,ENSGACG00000007038,Novel gene,,
20,7875001,7950000,0.021004967,0.163615983,0.086679,M,0.331,ENSGACG00000007040,Novel gene,,
20,7875001,7950000,0.021004967,0.163615983,0.086679,M,0.175,ENSGACG00000007061,mrpl13,mitochondrial ribosomal protein L13,"ribosome, translation, structural constituent of ribosome"
20,11025001,11100000,0.137780443,0.135639979,0.002270948,F,0.708,ENSGACG00000009439,znf574,zinc finger protein 574,"DNA binding, metal ion binding, definitive hemopoiesis, DNA binding, metal ion binding, definitive hemopoiesis"
20,11025001,11100000,0.137780443,0.135639979,0.002270948,F,0.379,ENSGACG00000009451,Novel gene,,
20,11025001,11100000,0.137780443,0.135639979,0.002270948,F,0.237,ENSGACG00000009439,znf574,zinc finger protein 574,"DNA binding, metal ion binding, definitive hemopoiesis, DNA binding, metal ion binding, definitive hemopoiesis"
20,11025001,11100000,0.137780443,0.135639979,0.002270948,F,0.019,ENSGACG00000009449,znf526,zinc finger protein 526,"zinc ion binding, transcription, DNA-templated, nucleic acid binding, metal ion binding"
21,2925001,3.00E+06,0.21736545,0.17636065,0.00563495,M,0.506,ENSGACG00000002155,RAMP3,receptor,"intracellular protein transport, integral component of membrane, regulation of G-protein coupled receptor protein signaling pathway, protein transporter activity"
21,9675001,9750000,0.159078222,0.092084111,0.022575013,M,0.458,ENSGACG00000004347,SOX17 ,SRY-box 17,
21,9675001,9750000,0.159078222,0.092084111,0.022575013,M,0.086,ENSGACG00000004365,vps41,vacuolar protein sorting 41 homolog,"intracellular protein transport, zinc ion binding, protein binding, vesicle-mediated transport"
21,9675001,9750000,0.159078222,0.092084111,0.022575013,F,0.009,ENSGACG00000004363,Novel gene,,
21,9675001,9750000,0.159078222,0.092084111,0.022575013,M,0.005,ENSGACG00000004359,esco1,establishment of sister chromatid cohesion N-acetyltransferase 1,
21,10650001,10725000,0.118972513,0.056434475,0.046541341,M,0.094,ENSGACG00000004967,ralaa,v-ral simian leukemia viral oncogene homolog Aa,
21,10650001,10725000,0.118972513,0.056434475,0.046541341,M,0.077,ENSGACG00000004953,fbxl7,F-box and leucine-rich repeat protein 7,protein binding
21,10650001,10725000,0.118972513,0.056434475,0.046541341,F,0.034,ENSGACG00000004982,cdk13,cyclin-dependent kinase 13,"ATP binding, protein tyrosine kinase activity, protein phosphorylation, protein kinase activity"
22,5550001,5625000,0.117639281,0.135303765,0.014322729,M,0.452,ENSGACG00000000869,CLEC19A ,C-type lectin domain family 19 member A,
